team_1,team_2,winner,margin,ground,ground_url,match_date,scorecard,scorecard_url
India,New Zealand,New Zealand,200 runs,Dambulla,http://stats.espncricinfo.com/ci/content/ground/59368.html,2010-08-10,ODI # 3030,http://stats.espncricinfo.com/ci/engine/match/456662.html
Sri Lanka,New Zealand,Sri Lanka,3 wickets,Dambulla,http://stats.espncricinfo.com/ci/content/ground/59368.html,2010-08-13,ODI # 3031,http://stats.espncricinfo.com/ci/engine/match/456664.html
Sri Lanka,India,India,6 wickets,Dambulla,http://stats.espncricinfo.com/ci/content/ground/59368.html,2010-08-16,ODI # 3032,http://stats.espncricinfo.com/ci/engine/match/456663.html
Scotland,Afghanistan,Afghanistan,9 wickets,Ayr,http://stats.espncricinfo.com/ci/content/ground/59258.html,2010-08-16,ODI # 3033,http://stats.espncricinfo.com/ci/engine/match/450498.html
Ireland,Netherlands,Ireland,70 runs,Dublin,http://stats.espncricinfo.com/ci/content/ground/58604.html,2010-08-16,ODI # 3034,http://stats.espncricinfo.com/ci/engine/match/464717.html
Scotland,Afghanistan,Scotland,6 wickets,Ayr,http://stats.espncricinfo.com/ci/content/ground/59258.html,2010-08-17,ODI # 3035,http://stats.espncricinfo.com/ci/engine/match/450501.html
Ireland,Netherlands,Ireland,9 wickets,Dublin,http://stats.espncricinfo.com/ci/content/ground/58604.html,2010-08-18,ODI # 3036,http://stats.espncricinfo.com/ci/engine/match/464720.html
Sri Lanka,India,Sri Lanka,8 wickets,Dambulla,http://stats.espncricinfo.com/ci/content/ground/59368.html,2010-08-22,ODI # 3038,http://stats.espncricinfo.com/ci/engine/match/456666.html
India,New Zealand,India,105 runs,Dambulla,http://stats.espncricinfo.com/ci/content/ground/59368.html,2010-08-25,ODI # 3039,http://stats.espncricinfo.com/ci/engine/match/456665.html
Sri Lanka,India,Sri Lanka,74 runs,Dambulla,http://stats.espncricinfo.com/ci/content/ground/59368.html,2010-08-28,ODI # 3040,http://stats.espncricinfo.com/ci/engine/match/456668.html
Canada,Ireland,Canada,4 runs,Toronto,http://stats.espncricinfo.com/ci/content/ground/56708.html,2010-09-06,ODI # 3041,http://stats.espncricinfo.com/ci/engine/match/464723.html
Canada,Ireland,Ireland,92 runs,Toronto,http://stats.espncricinfo.com/ci/content/ground/56708.html,2010-09-07,ODI # 3042,http://stats.espncricinfo.com/ci/engine/match/464724.html
England,Pakistan,England,24 runs,Chester-le-Street,http://stats.espncricinfo.com/ci/content/ground/56901.html,2010-09-10,ODI # 3043,http://stats.espncricinfo.com/ci/engine/match/426428.html
England,Pakistan,England,4 wickets,Leeds,http://stats.espncricinfo.com/ci/content/ground/57092.html,2010-09-12,ODI # 3044,http://stats.espncricinfo.com/ci/engine/match/426429.html
England,Pakistan,Pakistan,23 runs,The Oval,http://stats.espncricinfo.com/ci/content/ground/57127.html,2010-09-17,ODI # 3045,http://stats.espncricinfo.com/ci/engine/match/426430.html
England,Pakistan,Pakistan,38 runs,Lord's,http://stats.espncricinfo.com/ci/content/ground/57129.html,2010-09-20,ODI # 3046,http://stats.espncricinfo.com/ci/engine/match/426431.html
England,Pakistan,England,121 runs,Southampton,http://stats.espncricinfo.com/ci/content/ground/57312.html,2010-09-22,ODI # 3047,http://stats.espncricinfo.com/ci/engine/match/426432.html
Zimbabwe,Ireland,Zimbabwe,2 wickets,Harare,http://stats.espncricinfo.com/ci/content/ground/59545.html,2010-09-26,ODI # 3048,http://stats.espncricinfo.com/ci/engine/match/474453.html
Zimbabwe,Ireland,Zimbabwe,3 wickets,Harare,http://stats.espncricinfo.com/ci/content/ground/59545.html,2010-09-28,ODI # 3049,http://stats.espncricinfo.com/ci/engine/match/474454.html
Zimbabwe,Ireland,Ireland,20 runs,Harare,http://stats.espncricinfo.com/ci/content/ground/59545.html,2010-09-30,ODI # 3050,http://stats.espncricinfo.com/ci/engine/match/474455.html
Bangladesh,New Zealand,Bangladesh,9 runs,Dhaka,http://stats.espncricinfo.com/ci/content/ground/236761.html,2010-10-05,ODI # 3051,http://stats.espncricinfo.com/ci/engine/match/476596.html
Kenya,Afghanistan,Kenya,92 runs,Nairobi (Gym),http://stats.espncricinfo.com/ci/content/ground/58661.html,2010-10-07,ODI # 3052,http://stats.espncricinfo.com/ci/engine/match/470624.html
Kenya,Afghanistan,Afghanistan,6 wickets,Nairobi (Gym),http://stats.espncricinfo.com/ci/content/ground/58661.html,2010-10-09,ODI # 3053,http://stats.espncricinfo.com/ci/engine/match/470625.html
Bangladesh,New Zealand,Bangladesh,7 wickets,Dhaka,http://stats.espncricinfo.com/ci/content/ground/236761.html,2010-10-11,ODI # 3054,http://stats.espncricinfo.com/ci/engine/match/476598.html
Kenya,Afghanistan,Kenya,8 wickets,Nairobi (Gym),http://stats.espncricinfo.com/ci/content/ground/58661.html,2010-10-11,ODI # 3055,http://stats.espncricinfo.com/ci/engine/match/470626.html
Bangladesh,New Zealand,Bangladesh,9 runs,Dhaka,http://stats.espncricinfo.com/ci/content/ground/236761.html,2010-10-14,ODI # 3056,http://stats.espncricinfo.com/ci/engine/match/476599.html
South Africa,Zimbabwe,South Africa,64 runs,Bloemfontein,http://stats.espncricinfo.com/ci/content/ground/59042.html,2010-10-15,ODI # 3057,http://stats.espncricinfo.com/ci/engine/match/463143.html
Bangladesh,New Zealand,Bangladesh,3 runs,Dhaka,http://stats.espncricinfo.com/ci/content/ground/236761.html,2010-10-17,ODI # 3058,http://stats.espncricinfo.com/ci/engine/match/476600.html
South Africa,Zimbabwe,South Africa,8 wickets,Potchefstroom,http://stats.espncricinfo.com/ci/content/ground/59172.html,2010-10-17,ODI # 3059,http://stats.espncricinfo.com/ci/engine/match/463144.html
India,Australia,India,5 wickets,Visakhapatnam,http://stats.espncricinfo.com/ci/content/ground/58547.html,2010-10-20,ODI # 3060,http://stats.espncricinfo.com/ci/engine/match/464529.html
South Africa,Zimbabwe,South Africa,272 runs,Benoni,http://stats.espncricinfo.com/ci/content/ground/59039.html,2010-10-22,ODI # 3061,http://stats.espncricinfo.com/ci/engine/match/463145.html
Pakistan,South Africa,South Africa,8 wickets,Abu Dhabi,http://stats.espncricinfo.com/ci/content/ground/59396.html,2010-10-29,ODI # 3062,http://stats.espncricinfo.com/ci/engine/match/461566.html
